epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,5103.34,0.69985,2.26077,0.2504,0.4842,1.0636,0.98019,0.99401,0.99049,0.89148,0.96523,0.96829,0.9673,0.67027,0.28103,0.73135,0.10896,0.45718,0.45333,0.007228,0.007228,0.007228
30,5276.83,0.69006,2.24912,0.24747,0.47609,1.06133,0.97945,0.96948,0.98193,0.85649,0.95441,0.93552,0.94274,0.64705,0.32713,0.81184,0.10895,0.26076,0.48252,0.007129,0.007129,0.007129
31,5450.91,0.68536,2.20051,0.24655,0.47239,1.05867,0.98699,0.99207,0.99006,0.90711,0.96042,0.96537,0.96457,0.69853,0.26615,0.69228,0.1037,0.28922,0.44308,0.00703,0.00703,0.00703
32,5626.76,0.67921,2.16517,0.24524,0.47254,1.05624,0.98953,0.99346,0.98972,0.89115,0.97174,0.97221,0.96968,0.7017,0.27246,0.64938,0.1012,0.40291,0.44397,0.006931,0.006931,0.006931
33,5802.91,0.67286,2.11422,0.24298,0.46364,1.04774,0.98693,0.98786,0.99135,0.88192,0.96028,0.95477,0.95326,0.66158,0.29302,0.74124,0.10475,0.20764,0.46391,0.006832,0.006832,0.006832
34,5977.07,0.67404,2.16483,0.24221,0.4705,1.05219,0.98332,0.99588,0.99028,0.90596,0.96847,0.9733,0.96992,0.72006,0.2612,0.64467,0.09936,0.53053,0.43882,0.006733,0.006733,0.006733
35,6150.9,0.67904,2.15595,0.23932,0.47052,1.05578,0.98672,0.99346,0.98969,0.90939,0.96801,0.97057,0.97059,0.72025,0.2635,0.63988,0.09976,0.37663,0.43928,0.006634,0.006634,0.006634
36,6325.3,0.67198,2.08837,0.23712,0.45972,1.04781,0.98599,0.99683,0.99056,0.90219,0.9712,0.97398,0.97525,0.7265,0.26123,0.62453,0.1014,0.28581,0.43811,0.006535,0.006535,0.006535
37,6499.47,0.66794,2.04197,0.23712,0.4497,1.05065,0.98892,0.99455,0.99016,0.90664,0.97402,0.97548,0.97563,0.73041,0.25429,0.60928,0.09836,0.24267,0.43192,0.006436,0.006436,0.006436
38,6674.33,0.66683,2.04206,0.23307,0.46281,1.04759,0.98441,0.99802,0.98993,0.90729,0.9698,0.97996,0.97511,0.72359,0.25112,0.58985,0.09738,0.28347,0.43228,0.006337,0.006337,0.006337
39,6848.72,0.66398,2.04122,0.23455,0.45441,1.04653,0.98665,0.99237,0.98978,0.90929,0.97227,0.97766,0.97565,0.73105,0.25287,0.59441,0.09765,0.51845,0.43288,0.006238,0.006238,0.006238
40,7022.73,0.66061,2.00761,0.23212,0.44744,1.04225,0.98535,0.99728,0.99148,0.91166,0.9777,0.9794,0.98073,0.7449,0.25125,0.57236,0.09423,0.29425,0.43045,0.006139,0.006139,0.006139
41,7196.57,0.65719,2.0025,0.23255,0.44963,1.04309,0.98812,0.99744,0.98948,0.91356,0.97243,0.98021,0.9744,0.73921,0.24855,0.56459,0.09416,0.31693,0.4299,0.00604,0.00604,0.00604
42,7370.55,0.64884,1.96182,0.22887,0.43779,1.03686,0.98795,0.99401,0.99066,0.91427,0.97767,0.97843,0.97926,0.74886,0.24843,0.55758,0.09431,0.30583,0.42881,0.005941,0.005941,0.005941
43,7545.06,0.6542,1.95056,0.22922,0.4407,1.03896,0.98493,0.99736,0.99104,0.91381,0.97388,0.9753,0.9773,0.75224,0.2459,0.56092,0.09357,0.3782,0.42813,0.005842,0.005842,0.005842
44,7719.42,0.64174,1.90683,0.22667,0.43294,1.03314,0.98667,0.99782,0.98998,0.91337,0.97537,0.97711,0.97668,0.75151,0.24611,0.55289,0.09271,0.17416,0.42618,0.005743,0.005743,0.005743
45,7893.18,0.64996,1.90542,0.226,0.43478,1.04093,0.98654,0.99843,0.98954,0.91497,0.98083,0.98202,0.98429,0.75534,0.24235,0.53808,0.09215,0.21814,0.42447,0.005644,0.005644,0.005644
46,8067.06,0.64708,1.8751,0.22461,0.43688,1.03641,0.98971,0.99549,0.99129,0.91681,0.97878,0.98046,0.98269,0.76563,0.24292,0.53428,0.09229,0.25909,0.42465,0.005545,0.005545,0.005545
47,8240.76,0.64231,1.86403,0.22336,0.43584,1.03177,0.98919,0.99749,0.99172,0.9188,0.9797,0.97929,0.98193,0.7666,0.24283,0.5393,0.09167,0.25866,0.42545,0.005446,0.005446,0.005446
48,8414.57,0.63897,1.89912,0.22308,0.42856,1.03239,0.99169,0.99782,0.99208,0.91807,0.98158,0.98365,0.98179,0.76328,0.23978,0.52888,0.09124,0.17949,0.42391,0.005347,0.005347,0.005347
49,8588.55,0.63571,1.81455,0.22137,0.42683,1.03144,0.99101,0.99782,0.99192,0.91881,0.98209,0.98147,0.98444,0.76488,0.23887,0.5215,0.09125,0.21445,0.42347,0.005248,0.005248,0.005248
